timestamp,object_x,object_y,contour_area
2026-09-05-20-29-34.739794,96,43,16851.0
2026-09-05-20-29-34.765788,121,63,32152.5
2026-09-05-20-29-34.799649,121,63,32140.0
2026-09-05-20-29-34.832446,122,64,33187.5
2026-09-05-20-29-34.876039,123,64,33425.0
2026-09-05-20-29-34.891738,125,66,34638.5
2026-09-05-20-29-34.933541,126,66,34883.5
2026-09-05-20-29-34.968454,126,67,35491.0
2026-09-05-20-29-35.000823,127,67,35963.5
2026-09-05-20-29-35.026682,127,67,35882.0
2026-09-05-20-29-35.061585,127,67,35788.5
2026-09-05-20-29-35.104122,127,67,35951.5
2026-09-05-20-29-35.136987,127,67,35991.5
2026-09-05-20-29-35.171754,127,67,36111.5
2026-09-05-20-29-35.202826,128,67,36293.0
2026-09-05-20-29-35.240052,127,67,36201.0
2026-09-05-20-29-35.271091,128,67,36300.0
2026-09-05-20-29-35.312555,127,67,36172.0
2026-09-05-20-29-35.344989,128,67,36264.0
2026-09-05-20-29-35.376978,128,67,36211.5
2026-09-05-20-29-35.408946,128,67,36394.0
2026-09-05-20-29-35.449006,127,67,36225.0
2026-09-05-20-29-35.477145,128,68,36450.5
2026-09-05-20-29-35.507973,128,68,36437.5
2026-09-05-20-29-35.550672,128,68,36501.5
2026-09-05-20-29-35.581403,128,68,36498.5
2026-09-05-20-29-35.612976,128,67,36414.0
2026-09-05-20-29-35.651065,128,68,36496.5
2026-09-05-20-29-35.684089,128,67,36448.5
2026-09-05-20-29-35.717651,128,68,36441.0
2026-09-05-20-29-35.751113,128,68,36440.5
2026-09-05-20-29-35.782293,128,67,36437.5
2026-09-05-20-29-35.817374,128,68,36447.5
2026-09-05-20-29-35.851758,128,67,36372.5
2026-09-05-20-29-35.882287,127,67,36229.0
2026-09-05-20-29-35.919670,127,67,36209.5
2026-09-05-20-29-35.952884,128,67,36320.0
2026-09-05-20-29-35.984884,128,68,36547.0
2026-09-05-20-29-36.022289,128,68,36478.0
2026-09-05-20-29-36.060914,128,67,36341.0
2026-09-05-20-29-36.089532,128,67,36324.5
2026-09-05-20-29-36.119462,128,67,36390.5
2026-09-05-20-29-36.160531,128,67,36319.5
2026-09-05-20-29-36.192023,128,67,36392.5
2026-09-05-20-29-36.224862,128,67,36432.0
2026-09-05-20-29-36.256850,128,67,36375.5
2026-09-05-20-29-36.298370,128,67,36267.0
2026-09-05-20-29-36.327987,128,67,36466.5
2026-09-05-20-29-36.364625,127,67,36208.5
2026-09-05-20-29-36.396075,128,67,36360.0
2026-09-05-20-29-36.427140,128,67,36283.5
2026-09-05-20-29-36.459894,128,67,36259.0
2026-09-05-20-29-36.496846,128,67,36413.0
2026-09-05-20-29-36.528843,127,67,36172.0
2026-09-05-20-29-36.560519,128,68,36362.0
2026-09-05-20-29-36.599196,128,67,36524.5
2026-09-05-20-29-36.632211,128,67,36498.0
2026-09-05-20-29-36.666602,128,68,36519.0
2026-09-05-20-29-36.699478,128,67,36355.5
2026-09-05-20-29-36.736790,129,68,36657.5
2026-09-05-20-29-36.770559,128,67,36452.5
2026-09-05-20-29-36.802714,128,67,36484.0
2026-09-05-20-29-36.834864,129,69,37318.0
2026-09-05-20-29-36.871924,130,69,37670.5
2026-09-05-20-29-36.912462,130,69,38008.0
2026-09-05-20-29-36.939359,131,69,38119.5
2026-09-05-20-29-36.973615,131,69,38128.5
2026-09-05-20-29-37.008690,130,70,38204.0
2026-09-05-20-29-37.040761,130,70,38232.5
2026-09-05-20-29-37.072764,131,70,38743.5
2026-09-05-20-29-37.097499,132,70,38962.5
2026-09-05-20-29-37.133996,134,72,40907.0
2026-09-05-20-29-37.176220,134,73,41192.5
2026-09-05-20-29-37.212215,135,74,41947.5
2026-09-05-20-29-37.243595,136,74,42532.0
2026-09-05-20-29-37.279512,140,76,44685.0
2026-09-05-20-29-37.315039,141,77,45397.5
2026-09-05-20-29-37.349333,142,78,46318.0
2026-09-05-20-29-37.381973,143,78,46740.5
2026-09-05-20-29-37.415644,144,79,47630.5
2026-09-05-20-29-37.447260,146,80,48871.5
2026-09-05-20-29-37.474947,147,81,49617.0
2026-09-05-20-29-37.517774,148,81,50221.5
2026-09-05-20-29-37.552552,148,81,50233.5
2026-09-05-20-29-37.584144,149,82,50587.0
2026-09-05-20-29-37.620612,149,82,50649.0
2026-09-05-20-29-37.651255,149,82,50637.0
2026-09-05-20-29-37.685782,149,82,50664.0
2026-09-05-20-29-37.716473,149,82,50958.0
2026-09-05-20-29-37.755837,150,82,51505.0
2026-09-05-20-29-37.789627,151,83,51846.0
2026-09-05-20-29-37.824693,151,83,51914.0
2026-09-05-20-29-37.856463,153,84,53361.5
2026-09-05-20-29-37.900989,154,85,53888.0
2026-09-05-20-29-37.932016,153,85,54002.0
2026-09-05-20-29-37.966392,154,85,54314.5
2026-09-05-20-29-37.998700,154,85,54214.0
2026-09-05-20-29-38.031941,154,86,54461.0
2026-09-05-20-29-38.064261,154,86,54675.5
2026-09-05-20-29-38.096662,154,86,54598.0
2026-09-05-20-29-38.135783,155,86,55023.0
2026-09-05-20-29-38.166333,155,86,55023.5
2026-09-05-20-29-38.197519,155,86,55156.0
2026-09-05-20-29-38.234746,155,86,55148.5
2026-09-05-20-29-38.267056,156,86,55553.0
2026-09-05-20-29-38.302038,156,87,55737.0
2026-09-05-20-29-38.333323,156,87,56056.5
2026-09-05-20-29-38.371397,156,87,56098.5
2026-09-05-20-29-38.403528,157,87,56436.0
2026-09-05-20-29-38.435962,157,87,56517.5
2026-09-05-20-29-38.467400,157,87,56591.5
2026-09-05-20-29-38.498540,158,88,57140.0
2026-09-05-20-29-38.536746,159,89,57786.5
2026-09-05-20-29-38.563692,161,90,59489.5
2026-09-05-20-29-38.606103,162,91,60407.5
2026-09-05-20-29-38.638235,165,94,62603.0
2026-09-05-20-29-38.672599,163,95,62265.5
2026-09-05-20-29-38.709608,164,95,63091.5
2026-09-05-20-29-38.740371,164,94,62966.5
2026-09-05-20-29-38.777344,164,92,62919.0
2026-09-05-20-29-38.808186,167,93,63977.0
2026-09-05-20-29-38.834544,160,171,90421.0
2026-09-05-20-29-38.867909,162,171,92242.0
2026-09-05-20-29-38.913800,173,97,67791.0
2026-09-05-20-29-38.944787,177,98,69786.5
2026-09-05-20-29-38.977744,178,99,70439.5
2026-09-05-20-29-39.003853,178,99,70916.5
2026-09-05-20-29-39.047956,179,99,71087.5
2026-09-05-20-29-39.079676,180,100,71576.0
2026-09-05-20-29-39.116904,179,100,71614.5
2026-09-05-20-29-39.150739,180,100,71710.0
2026-09-05-20-29-39.182280,181,101,72590.5
2026-09-05-20-29-39.216044,181,101,73108.0
2026-09-05-20-29-39.248513,349,320,74445.5
2026-09-05-20-29-39.276909,350,319,77356.0
2026-09-05-20-29-39.315686,351,318,79716.0
2026-09-05-20-29-39.360520,351,317,81464.0
2026-09-05-20-29-39.387739,351,316,82714.5
2026-09-05-20-29-39.418483,273,215,158655.0
2026-09-05-20-29-39.453191,273,216,159575.0
2026-09-05-20-29-39.487135,353,315,85988.5
2026-09-05-20-29-39.520106,275,216,161600.5
2026-09-05-20-29-39.556390,354,315,86965.0
2026-09-05-20-29-39.588116,276,217,163071.5
2026-09-05-20-29-39.615130,276,217,163678.0
2026-09-05-20-29-39.647581,276,217,164855.5
